title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,thumbs,url
La simplexité - Alain Berthoz,2009,"[ ""William Eldin"" ]",livre,,,Alain Berthoz,"[ ""2.1. Performer le social"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/berthoz.pdf.0.png.180.jpeg?v=1654791116344"",""size"":180},{""path"":""_thumbs/shaping-ai/berthoz.pdf.0.png.360.jpeg?v=1654791116711"",""size"":360},{""path"":""_thumbs/shaping-ai/berthoz.pdf.0.png.600.jpeg?v=1654791116680"",""size"":600},{""path"":""_thumbs/shaping-ai/berthoz.pdf.0.png.800.jpeg?v=1654791116372"",""size"":800},{""path"":""_thumbs/shaping-ai/berthoz.pdf.0.png.1600.jpeg?v=1654791116459"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_181113-ykw
Bloomberg's Geek Squad - NY Times,2014,"[ ""PA Chevalier"" ]",article de presse,New York Times,"Article sur l'équipe de data science de la mairie de New York, portée par Mike Flowers, pionnière dans l'emploi du big data dans l'administration urbaine",Alan Feuer,"[ ""2.5. Instrumenter l'action publique"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/mayor-bloombergs-geek-squad-nytimes-com-1.pdf.0.png.180.jpeg?v=1654765329226"",""size"":180},{""path"":""_thumbs/shaping-ai/mayor-bloombergs-geek-squad-nytimes-com-1.pdf.0.png.360.jpeg?v=1654765329260"",""size"":360},{""path"":""_thumbs/shaping-ai/mayor-bloombergs-geek-squad-nytimes-com-1.pdf.0.png.600.jpeg?v=1654765329267"",""size"":600},{""path"":""_thumbs/shaping-ai/mayor-bloombergs-geek-squad-nytimes-com-1.pdf.0.png.800.jpeg?v=1654765329378"",""size"":800},{""path"":""_thumbs/shaping-ai/mayor-bloombergs-geek-squad-nytimes-com-1.pdf.0.png.1600.jpeg?v=1654765329354"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_110153-pf2
Computing Machinery & Intelligence - Alan Turing,1950,"[ ""Lucie Ronfaut"", ""P.Ramaciotti Morales"", ""RYBN"" ]",article scientifique,Mind (journal),,Alan Turing,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""1.1. Définir l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/lix-236-433.pdf.0.png.180.jpeg?v=1687451940613"",""size"":180},{""path"":""_thumbs/shaping-ai/lix-236-433.pdf.0.png.360.jpeg?v=1687451940653"",""size"":360},{""path"":""_thumbs/shaping-ai/lix-236-433.pdf.0.png.600.jpeg?v=1687451940797"",""size"":600},{""path"":""_thumbs/shaping-ai/lix-236-433.pdf.0.png.800.jpeg?v=1687451940675"",""size"":800},{""path"":""_thumbs/shaping-ai/lix-236-433.pdf.0.png.1600.jpeg?v=1687451940732"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230622_183838-yk7
ImageNet Classification with Deep Convolutional Neural Networks,2012,"[ ""Dominique Cardon"", ""Ninon Burgos"", ""P.Ramaciotti Morales"" ]",article scientifique,NeurIPS Proceedings,Article fondateur du tournant vers le deep learning,"Alex Krizhevsky, Ilya Sutskever & Geoffrey E. Hinton","[ ""1.5. Institutionnaliser l'IA comme discipline"", ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.1. Performer le social"", ""1.1. Définir l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/krizhevsky-sutskever-hinton-imagenet-classification-with-deep-convolutional-neural-networks.pdf.0.png.180.jpeg?v=1653984704454"",""size"":180},{""path"":""_thumbs/shaping-ai/krizhevsky-sutskever-hinton-imagenet-classification-with-deep-convolutional-neural-networks.pdf.0.png.360.jpeg?v=1653984704583"",""size"":360},{""path"":""_thumbs/shaping-ai/krizhevsky-sutskever-hinton-imagenet-classification-with-deep-convolutional-neural-networks.pdf.0.png.600.jpeg?v=1653984704589"",""size"":600},{""path"":""_thumbs/shaping-ai/krizhevsky-sutskever-hinton-imagenet-classification-with-deep-convolutional-neural-networks.pdf.0.png.800.jpeg?v=1653984704719"",""size"":800},{""path"":""_thumbs/shaping-ai/krizhevsky-sutskever-hinton-imagenet-classification-with-deep-convolutional-neural-networks.pdf.0.png.1600.jpeg?v=1653984704432"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_101127-q8z
Mooc MIT - Introduction to Deep Learning,2022,"[ ""Ninon Burgos"" ]",mooc,Site du Mooc,"Description du cours ""Introduction to Deep Learning"" organisé par le MIT",Alexander Amini & Ava Soleimany,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/mooc-mit-introduction-to-dl.pdf.0.png.180.jpeg?v=1654782707353"",""size"":180},{""path"":""_thumbs/shaping-ai/mooc-mit-introduction-to-dl.pdf.0.png.360.jpeg?v=1654782707385"",""size"":360},{""path"":""_thumbs/shaping-ai/mooc-mit-introduction-to-dl.pdf.0.png.600.jpeg?v=1654782707371"",""size"":600},{""path"":""_thumbs/shaping-ai/mooc-mit-introduction-to-dl.pdf.0.png.800.jpeg?v=1654782707388"",""size"":800},{""path"":""_thumbs/shaping-ai/mooc-mit-introduction-to-dl.pdf.0.png.1600.jpeg?v=1654782707587"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_155126-nt5
SING : Symbol-to-Instrument Neural Generator,2018,"[ ""Alexandre Défossez"" ]",article scientifique,arXiv,"Article présentant SING, un synthétiseur neuronal audio pour la génération de notes musicales","Alexandre Défossez (FAIR, PSL, SIERRA), Neil Zeghidour (PSL, FAIR, LSCP), Nicolas Usunier (FAIR), Léon Bottou (FAIR), Francis Bach (DI-ENS, PSL, SIERRA)","[ ""1.2. Mettre en données le monde"", ""3.1. Appliquer l'IA (de la recherche au business)"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/defossez-et-al-sing-symbol-to-instrument-neural-generator.pdf.0.png.180.jpeg?v=1654168021536"",""size"":180},{""path"":""_thumbs/shaping-ai/defossez-et-al-sing-symbol-to-instrument-neural-generator.pdf.0.png.360.jpeg?v=1654168021669"",""size"":360},{""path"":""_thumbs/shaping-ai/defossez-et-al-sing-symbol-to-instrument-neural-generator.pdf.0.png.600.jpeg?v=1654168021675"",""size"":600},{""path"":""_thumbs/shaping-ai/defossez-et-al-sing-symbol-to-instrument-neural-generator.pdf.0.png.800.jpeg?v=1654168021696"",""size"":800},{""path"":""_thumbs/shaping-ai/defossez-et-al-sing-symbol-to-instrument-neural-generator.pdf.0.png.1600.jpeg?v=1654168021637"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_130654-kjl
OMNIA Faster R-CNN: Detection in the wild through dataset merging and soft distillation,2019,"[ ""Charles Ollion"" ]",article scientifique,arXiv,Article collectif à propos de l'entraînement d'OMNIA Faster R-CNN sur plusieurs datasets fusionnées les uns avec les autres,"Alexandre Rame, Emilien Garreau, Hedi Ben-Younes, Charles Ollion","[ ""1.3. Modéliser"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/rame-et-al-extraits-article-omnia-faster-r-cnn-detection-in-the-wild-through-dataset-merging-and-soft-distillation.pdf.0.png.180.jpeg?v=1654593200553"",""size"":180},{""path"":""_thumbs/shaping-ai/rame-et-al-extraits-article-omnia-faster-r-cnn-detection-in-the-wild-through-dataset-merging-and-soft-distillation.pdf.0.png.360.jpeg?v=1654593200671"",""size"":360},{""path"":""_thumbs/shaping-ai/rame-et-al-extraits-article-omnia-faster-r-cnn-detection-in-the-wild-through-dataset-merging-and-soft-distillation.pdf.0.png.600.jpeg?v=1654593200836"",""size"":600},{""path"":""_thumbs/shaping-ai/rame-et-al-extraits-article-omnia-faster-r-cnn-detection-in-the-wild-through-dataset-merging-and-soft-distillation.pdf.0.png.800.jpeg?v=1654593200714"",""size"":800},{""path"":""_thumbs/shaping-ai/rame-et-al-extraits-article-omnia-faster-r-cnn-detection-in-the-wild-through-dataset-merging-and-soft-distillation.pdf.0.png.1600.jpeg?v=1654593200523"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_111222-4a5
Automating Society / Taking Stock of Automated Decision-Making in the EU,2019,"[ ""Hubert Guillaud"" ]",rapport,AlgorithmWatch,Rapport de l'association AlgorithmWatch sur les applications des outils automatiques d'aide à la décision dans le secteur public en Europe,AlgorithmWatch,"[ ""2.2. Produire une critique de l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/pages-de-automating-society-report-2019.pdf.0.png.180.jpeg?v=1654541208992"",""size"":180},{""path"":""_thumbs/shaping-ai/pages-de-automating-society-report-2019.pdf.0.png.360.jpeg?v=1654541209138"",""size"":360},{""path"":""_thumbs/shaping-ai/pages-de-automating-society-report-2019.pdf.0.png.600.jpeg?v=1654541209170"",""size"":600},{""path"":""_thumbs/shaping-ai/pages-de-automating-society-report-2019.pdf.0.png.800.jpeg?v=1654541209169"",""size"":800},{""path"":""_thumbs/shaping-ai/pages-de-automating-society-report-2019.pdf.0.png.1600.jpeg?v=1654541209094"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_204634-03c
Automated Decision-Making Systems in the Public Sector,2021,"[ ""Hubert Guillaud"" ]",rapport,,rapport de l'association AlgorithmWatch sur les outils automatiques d'aide à la décision dans le secteur public. Conçu comme un outil d'évaluation d'impact à destination des autorités publiques.,AlgorithmWatch,"[ ""2.5. Instrumenter l'action publique"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/pages-de-2021-aw-decision-public-sector-en-v5-1-2.pdf.0.png.180.jpeg?v=1654540986636"",""size"":180},{""path"":""_thumbs/shaping-ai/pages-de-2021-aw-decision-public-sector-en-v5-1-2.pdf.0.png.360.jpeg?v=1654540986787"",""size"":360},{""path"":""_thumbs/shaping-ai/pages-de-2021-aw-decision-public-sector-en-v5-1-2.pdf.0.png.600.jpeg?v=1654540986818"",""size"":600},{""path"":""_thumbs/shaping-ai/pages-de-2021-aw-decision-public-sector-en-v5-1-2.pdf.0.png.800.jpeg?v=1654540986945"",""size"":800},{""path"":""_thumbs/shaping-ai/pages-de-2021-aw-decision-public-sector-en-v5-1-2.pdf.0.png.1600.jpeg?v=1654540986635"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_204251-ftf
CamemBERT - Almanach Inria,2022,"[ ""PA Chevalier"" ]",présentation (projet),ALMAnaCH (Inria),Site web du modèle de langue neuronal du français de type BERT développé par l'équipe ALMAnaCH (Inria),ALMAnACH (INRIA),"[ ""4.2. Chaînes de valeur de la donnée"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/camembert.pdf.0.png.180.jpeg?v=1654770350743"",""size"":180},{""path"":""_thumbs/shaping-ai/camembert.pdf.0.png.360.jpeg?v=1654770350777"",""size"":360},{""path"":""_thumbs/shaping-ai/camembert.pdf.0.png.600.jpeg?v=1654770350772"",""size"":600},{""path"":""_thumbs/shaping-ai/camembert.pdf.0.png.800.jpeg?v=1654770350778"",""size"":800},{""path"":""_thumbs/shaping-ai/camembert.pdf.0.png.1600.jpeg?v=1654770350953"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_122537-1yy
Le retour des mouchard,2021,"[ ""Marie Lechner"" ]",article de blog,Technopolice,"Article de Technopolice sur l'expérimentation, à Orléans, consistant à équiper quatre caméras de vidéosurveillance de micros détecteurs de sons « anormaux », en partenariat avec l’entreprise Sensivic.",Technopolice,"[ ""2.3. Ouvrir les boîtes noires"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/copie-de-orleans-le-retour-des-mouchards-technopolice.pdf.0.png.180.jpeg?v=1655045020324"",""size"":180},{""path"":""_thumbs/shaping-ai/copie-de-orleans-le-retour-des-mouchards-technopolice.pdf.0.png.360.jpeg?v=1655045020364"",""size"":360},{""path"":""_thumbs/shaping-ai/copie-de-orleans-le-retour-des-mouchards-technopolice.pdf.0.png.600.jpeg?v=1655045020352"",""size"":600},{""path"":""_thumbs/shaping-ai/copie-de-orleans-le-retour-des-mouchards-technopolice.pdf.0.png.800.jpeg?v=1655045020466"",""size"":800},{""path"":""_thumbs/shaping-ai/copie-de-orleans-le-retour-des-mouchards-technopolice.pdf.0.png.1600.jpeg?v=1655045020434"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_164311-oih
Amazon Mechanical Turk,2005,"[ ""RYBN"" ]",interface,,,Amazon,"[ ""2.1. Performer le social"", ""3.4. Travailler avec l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/amazon-mechanical-turk.pdf.0.png.180.jpeg?v=1654790259349"",""size"":180},{""path"":""_thumbs/shaping-ai/amazon-mechanical-turk.pdf.0.png.360.jpeg?v=1654790259408"",""size"":360},{""path"":""_thumbs/shaping-ai/amazon-mechanical-turk.pdf.0.png.600.jpeg?v=1654790259398"",""size"":600},{""path"":""_thumbs/shaping-ai/amazon-mechanical-turk.pdf.0.png.800.jpeg?v=1654790259544"",""size"":800},{""path"":""_thumbs/shaping-ai/amazon-mechanical-turk.pdf.0.png.1600.jpeg?v=1654790259508"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_175725-xzl
Open Terms Archive,2022,"[ ""Cécile Crichton"" ]",présentation (projet),Ambassadeur pour le numérique,Open Terms Archive - outil d'analyse pour comparer les conditions générales de vente et d'utilisation des fournisseurs de services numériques.,Ambassadeur pour le numérique,"[ ""3.3. Optimiser les algorithmes"", ""2.3. Ouvrir les boîtes noires"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/open-terms-archive-1.pdf.0.png.180.jpeg?v=1654694631746"",""size"":180},{""path"":""_thumbs/shaping-ai/open-terms-archive-1.pdf.0.png.360.jpeg?v=1654694631753"",""size"":360},{""path"":""_thumbs/shaping-ai/open-terms-archive-1.pdf.0.png.600.jpeg?v=1654694631757"",""size"":600},{""path"":""_thumbs/shaping-ai/open-terms-archive-1.pdf.0.png.800.jpeg?v=1654694631919"",""size"":800},{""path"":""_thumbs/shaping-ai/open-terms-archive-1.pdf.0.png.1600.jpeg?v=1654694631855"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_155334-vp6
Fabricants puces électroniques,2021,"[ ""Alexandre Défossez"" ]",article (presse spécialisée),Objetconnecte.com,Top 10 des plus grands fabricants mondiaux de puces électroniques,Ando R.,"[ ""1.4. Écologiser l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/top-10-des-plus-grands-fabricants-de-puces-e-lectroniques-dans-le-monde.pdf.0.png.180.jpeg?v=1687961868133"",""size"":180},{""path"":""_thumbs/shaping-ai/top-10-des-plus-grands-fabricants-de-puces-e-lectroniques-dans-le-monde.pdf.0.png.360.jpeg?v=1687961868186"",""size"":360},{""path"":""_thumbs/shaping-ai/top-10-des-plus-grands-fabricants-de-puces-e-lectroniques-dans-le-monde.pdf.0.png.600.jpeg?v=1687961868165"",""size"":600},{""path"":""_thumbs/shaping-ai/top-10-des-plus-grands-fabricants-de-puces-e-lectroniques-dans-le-monde.pdf.0.png.800.jpeg?v=1687961868178"",""size"":800},{""path"":""_thumbs/shaping-ai/top-10-des-plus-grands-fabricants-de-puces-e-lectroniques-dans-le-monde.pdf.0.png.1600.jpeg?v=1687961868422"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_161651-j6d
Bienvenue à Gattaca,1997,"[ ""Pierre Latouche"" ]",film,Site de L'Internaute,"Affiche du film ""Bienvenue à Gattaca"" (1997), réalisé par Andrew Niccol",Andrew Niccol,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""3.5. Justifier les projets d’IA "" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/bienvenue-a-gattaca-affiche.pdf.0.png.180.jpeg?v=1654961278445"",""size"":180},{""path"":""_thumbs/shaping-ai/bienvenue-a-gattaca-affiche.pdf.0.png.360.jpeg?v=1654961278478"",""size"":360},{""path"":""_thumbs/shaping-ai/bienvenue-a-gattaca-affiche.pdf.0.png.600.jpeg?v=1654961278467"",""size"":600},{""path"":""_thumbs/shaping-ai/bienvenue-a-gattaca-affiche.pdf.0.png.800.jpeg?v=1654961278490"",""size"":800},{""path"":""_thumbs/shaping-ai/bienvenue-a-gattaca-affiche.pdf.0.png.1600.jpeg?v=1654961278664"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_172735-04a
